ID del Cliente,Edad del Niño,Sexo del Niño,Nivel de Estudios del Padre,Duración de la Subscripción (meses),Plan de Subscripción,Ingresos del Hogar (USD),Gasto Total en Subscripción (USD),Número de Sesiones por Semana,Nivel de Satisfacción del Cliente,Churn,Valor del Tiempo de Vida (LTV)
1,10,Masculino,Undergraduate,22.0,Básico,60983.52,154.0,1.0,3.25,1,1121.03
2,7,Femenino,Undergraduate,26.0,Premium,46799.12,520.0,4.43,4.61,0,1206.53
3,16,Femenino,Undergraduate,11.0,Básico,59820.15,77.0,3.15,2.88,1,810.93
4,14,Masculino,Undergraduate,21.0,Premium,42901.02,420.0,5.85,5.0,0,1329.8
5,11,Masculino,Undergraduate,24.0,Premium,85253.09,480.0,3.73,4.11,0,1861.25
6,16,Femenino,Graduate,5.0,Básico,20000.0,35.0,2.25,3.49,1,442.53
7,8,Femenino,Undergraduate,14.0,Básico,60094.15,98.0,2.92,4.17,1,898.22
8,10,Masculino,Undergraduate,17.0,Básico,23531.06,119.0,3.25,4.11,1,677.52
9,13,Femenino,High School,3.0,Básico,46615.15,21.0,2.85,3.59,1,599.86
10,6,Femenino,Undergraduate,9.0,Premium,48715.88,126.0,6.34,4.65,1,837.05
11,10,Femenino,High School,21.0,Premium,72614.5,420.0,5.6,5.0,0,1256.53
12,14,Masculino,Graduate,16.0,Básico,39617.72,112.0,2.19,3.77,1,919.91
13,14,Masculino,Undergraduate,21.0,Básico,69620.18,147.0,2.65,3.22,1,1215.17
14,11,Femenino,High School,4.0,Básico,32317.75,28.0,1.33,2.87,1,445.15
15,8,Femenino,High School,19.0,Básico,70200.05,133.0,2.43,2.45,1,861.7
16,7,Femenino,Undergraduate,31.0,Premium,42884.82,620.0,6.37,4.86,0,1278.81
17,11,Masculino,Undergraduate,17.0,Básico,51101.52,119.0,3.42,3.64,1,982.68
18,11,Femenino,Undergraduate,13.0,Básico,44954.32,91.0,4.14,4.4,1,752.7
19,6,Femenino,High School,31.0,Premium,69235.45,620.0,4.15,4.66,0,1390.9
20,9,Masculino,Undergraduate,22.0,Básico,66316.1,220.0,3.95,4.46,0,1338.23
21,8,Femenino,Undergraduate,23.0,Básico,56652.53,161.0,2.34,3.12,1,874.66
22,5,Masculino,Undergraduate,24.0,Básico,32721.97,240.0,3.8,4.33,0,948.3
23,11,Femenino,Undergraduate,1.0,Básico,39274.67,7.0,2.71,3.28,1,558.0
24,15,Femenino,Undergraduate,12.0,Básico,34571.35,84.0,3.71,4.13,1,629.86
25,17,Femenino,High School,4.0,Básico,20000.0,28.0,4.61,3.19,1,348.85
26,9,Masculino,Graduate,11.0,Básico,68919.77,77.0,2.41,3.6,1,1248.91
27,5,Masculino,Undergraduate,10.0,Premium,45082.65,140.0,5.83,3.93,1,952.94
28,15,Masculino,Undergraduate,2.0,Básico,44922.59,14.0,4.29,3.72,1,785.82
29,8,Femenino,High School,17.0,Básico,72441.53,119.0,2.4,3.7,1,925.58
30,4,Masculino,Undergraduate,8.0,Básico,42860.17,56.0,1.0,2.94,1,764.21
31,15,Femenino,High School,6.0,Básico,37392.94,42.0,5.14,3.5,1,531.99
32,13,Femenino,Undergraduate,21.0,Básico,46628.82,147.0,2.4,3.9,1,800.33
33,9,Masculino,Graduate,9.0,Básico,33009.96,63.0,2.76,3.5,1,749.89
34,16,Femenino,Undergraduate,13.0,Básico,55165.34,91.0,4.22,3.6,1,814.41
35,15,Femenino,High School,11.0,Básico,44395.07,77.0,2.39,3.5,1,626.32
36,12,Femenino,High School,34.0,Premium,42390.93,680.0,3.69,5.0,0,1218.52
37,4,Femenino,Undergraduate,16.0,Básico,41091.45,112.0,2.52,4.08,1,719.69
38,14,Femenino,High School,21.0,Premium,48406.68,420.0,2.71,4.8,0,1029.83
39,14,Masculino,High School,2.0,Básico,51252.22,14.0,2.65,3.75,1,785.25
40,13,Femenino,Graduate,15.0,Premium,42200.37,210.0,5.67,4.78,1,940.42
41,15,Masculino,Undergraduate,12.0,Básico,44618.51,84.0,2.73,2.35,1,783.58
42,15,Masculino,High School,8.0,Básico,48777.16,56.0,1.46,2.95,1,760.5
43,17,Femenino,Graduate,11.0,Básico,47263.73,77.0,4.73,3.71,1,793.69
44,17,Femenino,High School,35.0,Premium,50466.14,700.0,5.86,3.98,0,1263.38
45,17,Femenino,Graduate,10.0,Básico,39849.94,70.0,4.56,3.33,1,686.03
46,6,Masculino,Undergraduate,13.0,Básico,65068.89,91.0,2.14,2.44,1,1044.92
47,15,Femenino,Graduate,17.0,Básico,51452.42,119.0,2.12,3.4,1,868.07
48,10,Masculino,Undergraduate,12.0,Premium,42442.3,168.0,6.4,5.0,1,1019.33
49,7,Femenino,Graduate,29.0,Premium,55165.76,580.0,4.38,4.99,0,1491.64
50,12,Masculino,Graduate,3.0,Básico,48884.47,21.0,1.62,3.53,1,906.1
51,6,Femenino,High School,20.0,Básico,23992.6,140.0,3.87,3.29,1,490.09
52,8,Femenino,Graduate,13.0,Básico,55114.29,91.0,1.91,2.42,1,823.99
53,6,Masculino,Undergraduate,19.0,Básico,34707.41,133.0,1.0,2.32,1,721.34
54,10,Masculino,Undergraduate,7.0,Básico,64016.42,49.0,3.99,3.16,1,1025.34
55,8,Femenino,Undergraduate,14.0,Premium,46373.76,196.0,4.04,4.15,1,858.56
56,12,Masculino,Undergraduate,19.0,Básico,61701.05,133.0,2.19,3.36,1,1110.71
57,10,Masculino,High School,13.0,Básico,40546.72,91.0,1.0,2.69,1,694.22
58,5,Masculino,Undergraduate,22.0,Básico,51048.94,220.0,4.07,3.98,0,1124.94
59,7,Masculino,Undergraduate,13.0,Premium,68153.65,182.0,3.77,4.38,1,1309.74
60,12,Femenino,Graduate,27.0,Premium,45964.75,540.0,5.29,4.67,0,1331.54
61,15,Femenino,Graduate,18.0,Básico,41137.74,126.0,3.91,4.35,1,815.41
62,17,Femenino,Undergraduate,34.0,Premium,59825.61,680.0,6.33,4.32,0,1479.29
63,5,Masculino,Undergraduate,23.0,Básico,59534.92,230.0,2.27,3.66,0,1220.35
64,13,Masculino,High School,2.0,Básico,41768.76,14.0,1.17,3.23,1,652.29
65,12,Femenino,High School,18.0,Básico,20218.08,126.0,1.99,3.23,1,440.77
66,13,Femenino,High School,18.0,Básico,40849.66,126.0,3.05,4.05,1,663.46
67,8,Masculino,Undergraduate,11.0,Básico,60160.39,77.0,1.75,3.79,1,1050.33
68,5,Masculino,High School,1.0,Básico,38374.49,7.0,2.54,3.03,1,596.69
69,7,Masculino,Graduate,14.0,Básico,49835.93,98.0,3.15,3.54,1,1020.74
70,15,Femenino,Undergraduate,21.0,Premium,40137.73,420.0,6.94,4.98,0,1059.7
71,15,Femenino,Undergraduate,11.0,Básico,21017.49,77.0,1.77,3.22,1,443.61
72,10,Femenino,Undergraduate,1.0,Básico,39867.78,7.0,4.86,4.27,1,612.75
73,15,Masculino,High School,7.0,Básico,60096.98,49.0,3.77,3.89,1,929.14
74,16,Femenino,Undergraduate,16.0,Básico,20000.0,112.0,3.06,4.53,1,533.08
75,11,Masculino,Undergraduate,14.0,Básico,53782.51,98.0,3.82,3.0,1,950.81
76,6,Femenino,Undergraduate,15.0,Básico,32208.96,105.0,4.77,3.89,1,615.47
77,17,Masculino,Undergraduate,19.0,Premium,59126.63,266.0,4.54,4.2,1,1291.65
78,4,Masculino,Graduate,21.0,Básico,60714.78,147.0,2.04,3.71,1,1240.36
79,7,Masculino,Graduate,16.0,Premium,47420.78,224.0,2.13,3.62,1,1160.53
80,5,Femenino,Undergraduate,16.0,Básico,47454.98,112.0,2.53,3.68,1,762.76
81,11,Femenino,Undergraduate,19.0,Básico,37904.56,133.0,3.1,3.3,1,670.51
82,7,Femenino,Undergraduate,17.0,Básico,29816.25,119.0,2.43,3.12,1,567.35
83,5,Masculino,High School,32.0,Premium,75471.39,640.0,4.52,3.99,0,1753.42
84,17,Masculino,Undergraduate,6.0,Básico,37023.93,42.0,1.08,2.98,1,679.36
85,9,Masculino,High School,11.0,Básico,73516.94,77.0,2.97,4.14,1,1120.92
86,9,Masculino,Undergraduate,17.0,Básico,37107.5,119.0,4.06,3.8,1,822.8
87,13,Masculino,Undergraduate,9.0,Básico,57877.86,63.0,2.28,3.77,1,1004.57
88,7,Femenino,High School,18.0,Básico,32932.89,126.0,2.91,4.41,1,608.41
89,9,Masculino,Graduate,22.0,Premium,57850.93,440.0,3.55,4.55,0,1644.66
90,16,Femenino,Graduate,12.0,Básico,45116.19,84.0,3.52,3.43,1,762.95
91,5,Femenino,Graduate,23.0,Básico,45312.26,230.0,1.94,3.62,0,933.34
92,13,Masculino,Undergraduate,22.0,Básico,59150.35,154.0,2.1,3.15,1,1092.56
93,15,Femenino,Graduate,27.0,Premium,42962.88,540.0,4.36,4.34,0,1281.73
94,5,Femenino,High School,5.0,Básico,28577.77,35.0,1.94,2.63,1,406.96
95,13,Masculino,Graduate,16.0,Premium,61419.58,320.0,6.87,5.0,0,1563.14
96,17,Femenino,High School,4.0,Básico,32811.49,28.0,1.82,3.17,1,463.21
97,7,Masculino,Graduate,32.0,Premium,57747.76,640.0,5.1,4.71,0,1917.99
98,17,Femenino,High School,9.0,Premium,64594.95,126.0,5.64,4.29,1,887.82
99,11,Femenino,Graduate,8.0,Premium,44367.59,112.0,3.45,4.61,1,848.84
100,17,Femenino,Graduate,31.0,Premium,67735.29,620.0,8.39,4.74,0,1657.35
101,10,Femenino,High School,29.0,Premium,57226.76,580.0,3.72,4.41,0,1235.41
102,15,Masculino,Undergraduate,23.0,Básico,39562.08,230.0,2.33,3.91,0,993.26
103,12,Femenino,Graduate,17.0,Básico,71021.44,119.0,1.82,3.76,1,1098.58
104,17,Masculino,Undergraduate,7.0,Básico,32874.92,49.0,4.93,3.98,1,697.59
105,11,Masculino,Graduate,31.0,Premium,44349.49,620.0,6.93,4.16,0,1678.3
106,8,Masculino,Undergraduate,4.0,Básico,46905.28,28.0,1.6,4.82,1,892.79
107,16,Masculino,Undergraduate,28.0,Premium,59078.36,560.0,8.26,5.0,0,1694.95
108,5,Masculino,High School,18.0,Premium,66731.5,360.0,5.8,5.0,0,1405.05
109,8,Femenino,High School,12.0,Básico,65791.87,84.0,2.79,3.18,1,810.9
110,11,Femenino,Graduate,1.0,Básico,53356.22,7.0,2.39,3.42,1,768.54
111,13,Femenino,Undergraduate,21.0,Básico,45795.96,147.0,2.12,3.15,1,754.92
112,12,Masculino,Undergraduate,19.0,Básico,22610.24,133.0,3.14,4.26,1,692.21
113,15,Femenino,Undergraduate,21.0,Básico,30287.81,147.0,2.45,3.62,1,624.68
114,15,Masculino,Undergraduate,20.0,Básico,76499.83,140.0,4.82,3.57,1,1311.11
115,15,Masculino,Graduate,18.0,Básico,22458.92,126.0,1.73,3.11,1,668.09
116,16,Femenino,Graduate,11.0,Básico,38232.64,77.0,4.6,4.48,1,738.06
117,12,Masculino,Undergraduate,20.0,Básico,67169.09,200.0,2.69,4.34,0,1317.18
118,16,Femenino,Graduate,3.0,Básico,53145.7,21.0,3.37,4.44,1,836.27
119,16,Femenino,Graduate,17.0,Básico,63920.68,119.0,3.9,4.16,1,1043.42
120,4,Masculino,Undergraduate,17.0,Premium,58142.43,238.0,4.45,4.46,1,1261.08
121,12,Masculino,Graduate,15.0,Premium,72043.74,210.0,7.5,3.64,1,1468.45
122,10,Masculino,High School,8.0,Básico,54431.41,56.0,1.0,3.35,1,844.52
123,12,Femenino,High School,15.0,Básico,59951.72,105.0,2.08,3.42,1,787.74
124,11,Femenino,Graduate,5.0,Básico,39136.3,35.0,1.81,3.43,1,645.79
125,4,Masculino,Undergraduate,9.0,Premium,58794.99,126.0,3.52,4.46,1,1133.8
126,15,Masculino,Graduate,21.0,Básico,44058.11,147.0,2.79,2.89,1,966.6
127,11,Masculino,Graduate,25.0,Premium,43203.41,500.0,6.68,5.0,0,1560.29
128,11,Femenino,High School,19.0,Básico,63420.85,133.0,3.44,4.0,1,870.64
129,14,Masculino,Graduate,21.0,Básico,63524.35,147.0,3.17,3.98,1,1294.98
130,6,Femenino,Undergraduate,9.0,Premium,75326.63,126.0,3.6,4.83,1,1109.5
131,4,Femenino,Undergraduate,20.0,Premium,74348.95,400.0,4.95,4.86,0,1372.66
132,11,Masculino,Undergraduate,17.0,Básico,63759.73,119.0,2.86,3.37,1,1119.16
133,6,Femenino,Graduate,12.0,Básico,24193.32,84.0,3.34,3.63,1,548.12
134,6,Masculino,High School,3.0,Básico,77415.21,21.0,3.18,3.68,1,1077.12
135,4,Femenino,Undergraduate,15.0,Premium,63769.52,210.0,4.45,4.6,1,1066.86
136,14,Femenino,Undergraduate,15.0,Básico,38512.1,105.0,2.04,3.91,1,678.58
137,8,Masculino,Graduate,15.0,Premium,60933.64,210.0,4.82,4.86,1,1402.29
138,13,Masculino,Undergraduate,24.0,Básico,34441.01,240.0,2.32,4.5,0,979.51
139,10,Masculino,High School,23.0,Básico,59279.45,230.0,2.35,4.57,0,1156.62
140,13,Masculino,High School,18.0,Básico,30255.95,126.0,3.13,3.67,1,673.09
141,12,Masculino,Undergraduate,1.0,Básico,37876.72,7.0,3.52,1.78,1,574.75
142,15,Masculino,Graduate,8.0,Premium,60648.94,112.0,6.42,5.0,1,1278.41
143,10,Masculino,High School,21.0,Básico,66093.3,147.0,2.68,3.27,1,1068.38
144,12,Femenino,High School,31.0,Premium,54881.55,620.0,5.41,4.36,0,1247.97
145,11,Masculino,Graduate,32.0,Premium,45707.47,640.0,5.33,4.51,0,1745.56
146,15,Femenino,High School,12.0,Básico,20000.0,84.0,2.07,3.19,1,399.22
147,5,Masculino,Graduate,6.0,Premium,46864.68,84.0,2.87,4.6,1,1033.31
148,4,Masculino,Undergraduate,3.0,Básico,58002.28,21.0,1.57,2.53,1,880.58
149,10,Femenino,Graduate,3.0,Básico,45248.52,21.0,3.14,3.09,1,678.18
150,10,Masculino,High School,5.0,Básico,49661.33,35.0,1.96,3.56,1,780.81
151,17,Masculino,High School,19.0,Básico,47215.74,133.0,2.9,3.89,1,879.65
152,11,Femenino,Graduate,34.0,Premium,45174.41,680.0,5.8,4.98,0,1491.29
153,8,Masculino,Graduate,1.0,Básico,51138.16,7.0,3.05,3.22,1,896.6
154,6,Masculino,Graduate,9.0,Premium,45909.58,126.0,3.98,4.11,1,1043.34
155,15,Femenino,High School,4.0,Básico,71649.34,28.0,4.0,3.55,1,829.62
156,11,Masculino,Graduate,17.0,Básico,20000.0,119.0,3.86,3.89,1,677.96
157,9,Femenino,Graduate,14.0,Básico,41812.36,98.0,1.47,4.04,1,775.4
158,14,Masculino,Undergraduate,18.0,Básico,36946.16,126.0,2.11,2.4,1,744.6
159,6,Masculino,Graduate,32.0,Premium,53286.66,640.0,7.39,4.84,0,1867.3
160,4,Masculino,Graduate,6.0,Premium,51157.17,84.0,5.18,4.11,1,1057.7
161,6,Masculino,Undergraduate,27.0,Premium,74332.9,540.0,2.27,3.62,0,1772.01
