CLIENTE,COMBINADO,INGRESO
2,revision general tndr cambio del panel de control iva buen mantenimiento   iva total iva,1820.0
12,incluir el editor de pdf  contasea hienz   incluir el editor del pdf iva,150.0
2,imprime negro tn mantenimiento iva,480.0
3,mayusculas no escribe  minusculasse nota mas   cambio pantalla  memlinetypecambiar boton cinta margarita tapa cubierta rep de mylar de teclado    iva,360.0
3,rev  gral margarita cinta  tapa y cubierta reparacion de myler de teclado    iva,360.0
2,"rev gral cartucho toner reparacion traccion de papel  electroiman
pad de separador de papel
mantenimiento
  iva",1030.0
2,rev gral sin toner    con cable de energia buen mantenimiento   iva,530.0
2,rev gral   sin toner cambio de contacto del cartucho goma pick up mantenimento gral iva,480.0
3,rev gral toner reparacion de traccion de papel charola multiusos mantenimiento    iva,480.0
4,"rev gral toners el juego de cartuchos que envio el cliente sale un velo obscuro 
sustituir 

mantenimiento   iva",400.0
189,"imprime disparejo      iva
",530.0
2,"rev gral toner demaciado toner derramado sin cartucho de toner unidad de imagen en mal estado
cartucho de toner
unidad de imagen
buen mantenimiento 
sub total iva",5860.0
189,"imprime disparejo      iva
",530.0
6,  eliminador con cable disco duro malo no se puede sacar informacion gb,500.0
7,no recibe datos completa cambio de tarjeta logica cabeza impresora    iva,800.0
10,    rep de tarjeta logica    iva,360.0
11,impresion deforme tn cambio de cable cinta del escaner servicio    iva,420.0
12,"impresion con mancha tn mantenimeinto  opcional      neto 
cartucho en mal estado sustituir dl",776.0
17,impresion mala de un lado tn funda del fusor mantenimiento   iva,580.0
19,mantenimiento     imprime borroso tn funda de fusor mantenimiento  ,730.0
99,traccion de papel tn rep de traccion de papel mant    iva,480.0
17,"atora hojas impresion con manchas tn brazo sujetador del cartucho funda del fusor electroiman de la traccion de papel goma pickup mant      iva

no acepto se regresa",800.0
18,cartucho de toner trabado tns servicio de sincronizacion de carrousel de cartuchos    iva,300.0
22,atorando hojas   engrane impulsor funda fusor rodillo de presion goma pick up mant   iv,360.0
24,tirando toner   arreglar configuracion toner goma pick up mant  ,630.0
23,pantalla   cambio de pantalla   iva,130.0
3,alimentacion por adf se atora tn rep de el adf mant    iva,480.0
28,  base de pared fuente interna  ,360.0
31,"se reinicia elim scable disco duro no se puede recuperar informacion 

gb    iva
servicio   iva",1705.0
33,"no prende eliminador con cable     ecologica tapalpa mary  posible tarjeta madre boton y eliminador buenos 
 
",450.0
32,"revision gral   bateria v  ah    iva
y servicio",400.0
34,"rev grtnal tn electroiman de la traccion de papel  mant    iva
",480.0
35,despues de un rato se va la imagen      iva,480.0
35,prapadea la prenderse   iva,450.0
17,rev gral   c toner   mantenimiento    iva,380.0
38,"rev gral   ctoner   reparacion de teclado panel de control funda del fusor mantenimiento    iva


rep de videocasetera serv a equipo electronico    iv",1060.0
135,  portarollo    iva,280.0
4,rev gral  ccompleta   servico   ,325.0
38,"rev gral  celim ccable   reparacion de la traccion de papel y encoder circular servicio 
   iva",280.0
40,"cart y elim scable   rep de la traccion de papel mant 

sustituir cartuchos  
objeto extrao en el transporte de papel",122.0
37,no prende   celim scable   cambio de fuente de poder interna    iva,670.0
42,menu no lo deja cambiar control remoto  sin tapa trasera ni bateria   cambio de memoria logica    iva,500.0
34,no prende   cambio de fuente de poder y mant   iva,550.0
43,resp  y formt   servicio  ,400.0
16,trabado el teclado cinta corrector tapa  sin margarita ,360.0
44,"marca error de toner  toner nuevo original iimpresion con raya negra atora hojas charola de alimentacion de papel atorada tn reset toner 
sustituir unidad de imagen tambor
dr  deja manchas se lubrico charola ",986.0
45,traccion del papel   rep de traccion de papel destapado de cabezal mant    iva,430.0
50,"mant y rev gral   manchas en la impresion rodillo de calor fin de vida recubrir proximamente   

mantenimiento    iva",480.0
38,prende y se apaga sola   fuente cambio   ,680.0
187,calidad en impresion      iva,250.0
51,ventilador eliminador con cable mantenimiento ventilador rep de bisagras  ,660.0
48,no prende tn cambio de fuente serv de mano de obra  ,790.0
191,    ,400.0
50,respaldar usuario    servicio  ,350.0
51,elim ccable   puertos usb   rep de puertos usb  ,530.0
5,error atasco papelk   sincronizado de mecanismo de traccion de papel destapado de cabezal y servicio    iva,480.0
52,no prende   adaptador  ,595.0
33,    cambio de bateria v ah servicio    iva,450.0
33,"atora hojas   electroiman del tractor de papel 
mantenimiento iva
el equipo ingreso el dia  ya tiene casi el ao en el taller fecha de nota ",4515.0
192,"formateo sin respaldo  checar si puede con mas capacidad antivirus  windows  lo podra actualizar el sistema operativo eliminador sin cable trae gb ddr  mhz soporta gb solo trae un slot no soporta windows  


entregada sin rep 
",800.0
158,"rev gral      iva
",260.0
239,"raya en pantalla eliminador sin cable pantalla  
",200.0
57,no carga   posible eliminador no da voltaje no tenemos para probar  ,300.0
149,"formatear sin respado checar si puede con mas capacidad antivirus actualizar el office windows  lo podra  sin eliminador trae gb mb en cada slot soporta g ddr mz 
si se ponen los gb si soporta windows 

adaptador otac e     neto
formateo   

",2085.0
53,"marca un error   formatear w  sin respaldo disco duro malo lo marca al arrancar 
dd tb  iva
servicio    iva",1183.0
17,toner   mantenimiento  ,300.0
54,"imprime casi negro todo   cartuchos de color agotados 
 se requieren para diagnosticar el equipo 
no hay calibracion y el equipo se va a la funcion de impresion negro 

 cartuchos   cu  neto",490.0
55,  selim ni rollo cambio de jack de energia mantenimiento    iva,600.0
58,revison completa eliminador  portarollo reparacion y servicio    iva,200.0
56,imprime con manchas      iva,200.0
51,"no prende   se regresa sin reparar 
no hay tarjeta madre 


corto en fuene  
",740.0
17,"    mantenimiento    iva
cartucho de toner y unidad de imagen con mala calidad sustituir",360.0
17,    mantenimiento  ,680.0
193,sacar informacion y pasarla a una usb    gb  gb        gb    ,795.0
40,  tn mantenimiento    iva,670.0
59,revision gral toner funda del fusor goma pick up charola  mant ,120.0
194,"  eliminador con cable   
",100.0
59,"rev gral tonr funda del fusor goma pick up charola   mant  
dos engranes del fusorengranes del impulsor del fusorfunda de fusor goma pick up charola 

toner bajo a muy pronto sustituir   ",1805.0
59,"rev gral   serv de mantenimiento rep de traccion de papel 
   iva 
",630.0
60,calidad en impresion   destapado  ,200.0
161,rev gral portarollo    iva,260.0
51,    una bateria v ah y servicio  ,430.0
38,no enciende   lamparas  ,450.0
53,se apaga puerto usb no los detecta   fuente de poder y bateria del bios y mant  ,520.0
4,hojas con impresion mala tn rep de adf funda del fusor unidad de imagen mant  iva,930.0
62,"  tn demasiado toner derramado por todo el equipo deposito de toner saturado recarga de toner y revelador
buen mantenmiento  

ruidos muy fuertes",155.0
63,calidad en impresion   destapado y mantenimiento  ,500.0
5,"se atoran hojas impresion una si una en blanco tn rep de la traccion de papel mant    iva

cartucho amarillo agotado 
",630.0
63,almohadillas   cambio de almohadillas mant y reset  ,400.0
5,"quitar toda la tinta   mantenimiento    iva
retiro tinta",450.0
64,no prende   corto en la fuente inerna  ,400.0
26,encima los numeros   ,200.0
195,"  eliminador con cable conexion internet   eliminador malo 
  neto 
",470.0
65,    destapado de cabezal rep traccion de papel y esrv ,400.0
66,atora las cintas  cintas para pruebas revision de equipo    cintas reparadas  cintas,100.0
196,  cinta y corrector    iva,380.0
67,rev gral   cambio de bateria v ah servicio    iva,420.0
68,    entregada ,2018.0
68,    rep de mecanismo  cambio de tarjeta logica y serv ,880.0
70,rodillo de abajo no jala bien las hojas tn goma pick up pad rodillo separador de papel mant  ,830.0
70,mala impresion tn fusor completo ment  ,480.0
72,revision gral eliminador  cartuchos buen mantenimiento  ,480.0
55,"  tns mantenimiento   
toner deja muy pequeo velo",400.0
137,traccion de papel eliminador  con cable   iva,620.0
55,"  tn repd e fusor y mantenimiento   
dias habiles 
tn  ",1747.0
10,estaba prendida y se apago y ya no prende eliminador sin cable rep de tarjeta logica servicio ,250.0
69,    disco duro gb servicio   neto,1000.0
75,hizo corto en jack de energia y ya no prende   fuente interna daada    iva,300.0
77,atora hojas y checar tapa frontal que no cierra bien   rep de traccion de papel y mant  ,520.0
78,traccion papel y mant   serv de mant  ,480.0
12,"bisagras   soldadura y rep de bisagras 
 ",480.0
59,"  tn electroiman de la traccion de papel rodillo de presion funda del fusor goma pick up charola  mant   iva
",430.0
59,"  tn funda del fusor goma pick up charola  mant   iva cu 

cartucho en mal estado sustituir 
",120.0
59,"  tn goma pick up serv al fusor limpieza de escaner mant    iva
",830.0
10,cargar el office eliminador sin cable    iva,150.0
59,"  eliminador con cable de energia serv de mant    iva
",630.0
80,tira toner atora hojas tn mantenimietno    iva,360.0
82,no entra a wind   un ram gb ddr    neto,96.0
48,ruidos  ctoner   cambio de engrane de traccion de papel mant  ,480.0
83,marca error   rep de escaner y mant    iva,580.0
84,"formatear con respaldo de informacion en usb eliminador sin cable memoria usb  gb   neto 
adaptador   neto 
servicio ",1030.0
197,    serv bateria v  ah  ,430.0
40,"puerto usb tn mant    iva
",530.0
86,"  tn cambio de puntos contactos de cartuchos a tarjeta logica 
servicio  ",430.0
33,  cartuchos tintas cartuchos titna c  negro,244.0
33,"  toner toner malo 
goma pickup
funda de fusor 
buen manatenimiento iva",970.0
51,revision   una bateria v ah  ,440.0
80,"ruidos fuertes tn sin ruidos  en ocasiones toma hojas de mas muy sucia x dentro
mantenimiento  ",360.0
87,hoja atorada y rev gral   retiro de restos hoja atorada  ,480.0
82,charola rota no puede copiar   cartuchos en conflicto  sustituir los ,60.0
47,    cambio de v ah y servicio  ,430.0
83,"error    tn buen mant
goma pick up rodillo de presion rodillo de calor en mal estado  recubri  
   iva
",680.0
17,"tndr nuevos   mant   mantenimiento    iva

demasiado toner derramado en todo el equipo 

rep de bisagra mecanismo de unidad de imagen charola completa repd e mecanismo de la traccion de papel area adf  atascos  
recubrir rodillo de calor 
buen mant    iva",2010.0
92,  tn mantenimiento    iva,620.0
220,"no jala las hojas tns tns cambio de electroiman traccion de papel    iva
",300.0
187,lineas blancas en empresion en negro  garantia   garantia            entregada marzo,2018.0
95,almohadillas y reset   ,400.0
96,no entra eliminador con cable prende pero inmediatamente se apaga   ,400.0
97,    servicio    iva,360.0
97,  cartuchos tinta rep de traccion de papel  ,300.0
97,no determina la suma correcta y el punto falla       orden rivas    ,200.0
20,"impresora notaria  srita zeny tn funda de fusor rep traccion  de papel y mant  

equipo ruidoso hp  tiene detenidos los engranes",230.0
98,banda rota y rev gral   banda de transporte de papel juego de gomas pick up charoa  mant   iva,880.0
199,impresion mala  se atoro hoja    rep de impresor    iva,480.0
99,"impresion manchada   no imprime nada en color solo negro y mal 
  si se logra destapar",400.0
88,"     iva
te  dias",50.0
5,posible funda fusor sin tn funda fusor mant    iva,550.0
5,"se atoro hoja y despues tiene un ruido  mantenimiento tn mantenimiento    iva

ruidos por causa del cartucho de toner",480.0
55,revision   cambio de bateria v ah y serv  ,430.0
83,falla scanner   rep de escaner y serv  ,400.0
77,rev gral   rep tarjeta logica   ,360.0
100,rev gral   ,250.0
100,     ,360.0
38,objeto extrao en fusor   ctoner   rep de fusor y servicio  ,620.0
4,stoner   mantenimiento  ,300.0
4,toner   funda de fusor mant  ,860.0
103,"    cambio de bisagra rep de traccion de papel mant   iva 

nota sistema adf con problemas por deformacion de palstciso no incluido en presupuesto",200.0
4,    cambio de tractor de papel mant  ,780.0
102,"    a reciclado 

cartucho amarillo en mal estado sustituir

electroiman de la traccion de papel  mant   
",400.0
102,"no se ve   fuente y leds   
grande fuente y leds ",600.0
104,encendido     iva,440.0
104,avanza papel checo      iva,360.0
105,impresion en negro      iva,450.0
26,"no enciende  servicio   no autorizada

rep de encendido y mant   ",620.0
106,"no toma las hojas tn rep de electroiman de traccion de papel   
toner generico   neto",760.0
17,no prende revision general   fuente y servicio  ,630.0
109,mantenimiento tns mant ajustes de colores impresora ya pide todos los cartuchos  ,630.0
23,"  tn dr    neto

mant y rodillo de calor    iva

unidad de imagen deja manchas al lado izquierdo",2365.0
83,indicado en hoja   rep de tractor de papel y buen mant    iva,930.0
110,"instalar programa de core ilustrador y core  photoshop eliminador sin cable trae gb ddr  mhz soporta gb trae  slots 

gb   
 gb  ",4333.0
58,"no prende eliminador con cable sin reparacion 

bonificar   
fat     nov 
",1208.0
4,atora hojas  revision gral   mantenimiento tn cambio de guias de salida de papel buen mant  ,630.0
111,no prende tn cambio fuente  mant  ,550.0
21,"se reinicia   fuente de poder daada windows daado  hay que reinstalar y ver como funciona el disco duro 

fuente   
servicio ",760.0
53,"no entra windows   disco duro malo trae progrma de facturacin y recomendar subir memoria trae gb ddr mhz   gb 

dd   
serv    iva
",1067.0
112,mantenimiento tn mantenimmiento  ,300.0
4," av hidalgo     manda impresion y atora hojas tn funda fusor buen mantenimiento y goma pick up 
   iva",800.0
80,"  tn mantenimiento    iva
",360.0
5,traccion de papel   rep de traccion de papel  ,480.0
121,"  cartuchos caabezal negro ca    neto 
mantenimiento    iva
",5791.0
115,"mantenimiento cambio de unidad de imagen tn unidad de imagen  neto original
 neto  generico

toner   generico",1703.0
79,"revision gral tn serv al fusor  plastas de toner en el rodillo de calor  
mant    iva

toner con mala calidad sustituir",400.0
118,conseguir el adaptador   adaptador  ,550.0
25,"impresion mala tn rep de fugas de volt   

fuga de voltajes en cartuchos",680.0
68,revision eliminador ,480.0
120,traccion de papel   pad completo de charola de papel goma pick up serv   iva,630.0
121,"pantalla rota   pantalla y serv  neto total 


gustavo glez ",500.0
79,rev gral tn rep de fusor mant  ,1330.0
41,    una bateria v ah servicio  ,440.0
17,toma una hoja y ya no quiere mas   rep de traccion papel  mecanismo  mant  ,640.0
50,  tn mantenimiento    iva,80.0
41,    una bateria v ah servicio  ,440.0
48,    cambio de escaner y mant  ,670.0
122,formatear sresp y presup de bateria   servicio  ,350.0
95,actualizar el office   respaldo y formateo   ,400.0
123,"impresion mala tn rep de adf limpieza de laser ajuste de escaner mant gral   
 recubrir rodillo con serv ant  ",860.0
125,"atora hojas tn goma pick up charola multiusos 
goma pick up charola 
funda del fusor
mant  ",300.0
17,al imprimir hace ruidos necesita ayuda para tomar hojas charolas funda de fusor al  de vida util rulos de salida de papel area fusor  rep de la traccion de papel electroimanmant  ,480.0
120,cabezal tapado   ,480.0
77,"manchas atora hojas toner cartucho de toner en mal estado sustituir 
buen mant  ",400.0
127,"no entra windows eliminador sin cable disco duro mal 

dd seagate tb   neto
serv  neto",464.0
127,"estan alertados los leds tn   

sensor de registro de papel restablecimientos 
desbloquear equipo   
",300.0
40,revgral completa cambio de expulsor papel mascarilla mant    iva,740.0
4,    destapado de cabezal    iva,400.0
26,"rev gral  completa en acc   rep de impresor y mant   
",360.0
4,formatear srespaldo  cdd externo para revision de virus      iva,350.0
130,ruidos al encenderla   engrane del rodillo de calor buje del rodillo de calor serv  ,520.0
129,no prende   si prende no trae sistema   serv  ,400.0
131,"ruidos   rep de traccion de papel mant    iva 

servicio a laptocpuserv cambio de tecaldo  ",910.0
99,botones de control   rep de botonera    iva,250.0
111,ruidos ctoner   funda fusor rep de charola mant    iva,780.0
132,"lineas en impresion    colores de tinta  cu   
destapado de cabezales y mant    iva",1375.0
133,se apaga con ciertos programas checar para mas memoria elim scable mant  ,200.0
83,"completamente en negro tn contactos del cartucho  matn   

no acepto",480.0
135,rev gral   ,250.0
135,  tn bocina charola mecanismo de tracccion de papel mant  ,630.0
135,avance cinta   ,360.0
33,    ,450.0
33,       iva,450.0
33,       iva,450.0
136,"no toma las hojas no fija bien el toner tn goma pick up funda fusor mant    iva



marcelina padilla 
",630.0
41,se queda alertada tn contactos del cartucho mant    iva,525.0
137,"traccion papel  ctoner   cambio de electroiman embrague de traccion de papel 
serv   iva",830.0
83,"no detecta el sensor tn buen mantenimiento rodillo de calor daado goma pick up cambio de sensor unidad de image mant   
",720.0
141,"rev gral   facturar a rivemex

s  no reparable
s  rep de tarjeta logica    iva
",10670.0
142,"no prende   no se puede diagnosticar en su totalidad el equipo por la falla que presenta en la fuente interna 

rep de fuente   iva
   ",1036.8
3,"rompe las hojas   mascarilla sensor mantenimiento     
",480.0
68,  eliminador mecanismo de avance de cinta cintamant    iva,880.0
143,revgral sin cinta tractor tapa mascarilla perilla servicio    iva,670.0
145,no jala las hojas checar configuracion impresion muy negra tn fuente de voltage mant    iva,600.0
17,"marca error posible atasco papel ctoner y piesa suelta   rodillo de calor en mal estado  recubrir   
limpieza de guias y transporte de papel 
exceso de toner derramado 

mantenimiento    iva",480.0
144,rev   dos baterias v ah serviciio  ,860.0
146,ruido y atoramiento de papel toner extra rep de traccion de papel   ,250.0
33,"diglosa tn electroiman de la traccion de papel rotacion de la goma mantenimiento    iva

cartucho en mal estado 

al lado izquierdo  deja manchas  ",480.0
33,"diglosa tn mantenimiento    iva

toner malo 

puerta frontal daada se tratara de restablecer
equipo bloqueado por fin de vida de chip de cartucho 
demasiado toner derramado en todo el equipo",430.0
147,atora hojas tn goma pick up serv de mant    iva,870.0
148,"atora las hojas y ruidos en traccion   unidad de imagen en mal estado pone en corto al equipo y se encuentra agotado 

dr  ",986.0
41,"    dos baterias y fusible   cu  iva

y servicio",840.0
98,impresion   destapado de cabezal y mant    iva,450.0
150,"impresion incompleta ccart selim   encode lineal motor del carro banda del carro servicio    iva

 normal  
 xl ",2326.0
4,posible rodillo calor   serv a dos fusores mant  ,300.0
3,"no imprime  rev gral  cdrtn   dr 
original   neto 
generico   neto 

equipo bloqueado fin de vida de la unidad de imagen 

si imprime ",19726.0
33,"banda y calidad de impresion cartuchos rollo de papel mantenimiento    iva 

cambiar cabezal negro 
cambio de banda    iva",1045.0
174,rev gral tn guia papel y serv    iva,760.0
4,rev gral   rep de adf serv    iva,560.0
51,"bisagras y mant   bisagras teclado y mant  
eliminador sin cable  repde bisagras   
",1010.0
137,"no prende seliminador mantenimiento      iva
 si prende",300.0
174,"rev gral tn goma pick up  funda  mant    iva
",930.0
53,"stoner  y traccion de papel cmant   recubrimiento del rodillo de calor  gomas   juegos de gomas pick up charola  y  mant    iva
",280.0
79,"mantenimiento tn goma pick up mant   iva

lineas negral al escanear o copiar por adf",840.0
144,rev gral   ,400.0
144,rev gral   ,450.0
4,"marca error   repd e fusor serv    iva

regreso el dia feb  truenan algunos engranes",2398.0
20,"marca error de dd eliminador con cable 
 dd  gb  neto
servicio    iva


dd daado se puede recuperar informacion es de tb de los slim         ",1820.0
151,almoadillas   cambio de almohadillas reset mant    iva,480.0
23,"golpeada eliminador con cable  rep de carroceria    iva
",520.0
48,calidad de impresion   fuente electroiman mant    iva,520.0
152,"resp en usb y formatear   una memoria usb  gb   
",175.0
77,"mala impresion tn remanufactura de unidad de imagen y mantenimiiento 
   iva

 dias hbiles",730.0
174,"rev gral tn goma pick up funda de fusor mant    iva


 marco   ",930.0
