CODIGO,NOMBRE,FECHA_AUD,HORA_AUD
0,(Ninguno),2007-12-20,11:53:18.079000
500,GENERICO,2018-02-06,09:12:31.648000
501,MICROSTAR,2018-02-09,12:27:06.918000
502,SMARTBIT,2018-02-12,17:31:56.316000
503,SAPPHIRE,2018-02-13,12:04:35.351000
504,TOSHIBA,2018-02-14,16:24:59.794000
505,INTEMEC,2018-02-16,15:00:46.709000
506,VICA,2018-02-20,16:11:54.172000
507,LANIX,2018-02-23,12:24:57.147000
508,IDEAL,2018-02-27,13:49:44.897000
509,CELICA,2018-02-27,14:02:55.328000
510,IBM,2018-03-01,20:02:19.135000
511,SAM`S 4,2018-03-05,09:59:23.853000
734,PINTAFORM,2020-11-09,13:40:00.882000
513,SAMS 4,2018-03-05,10:03:28.247000
514,TEXAS INSTRUMENTS,2018-03-05,12:01:27.249000
515,TRUE BASIX,2018-03-06,11:52:28.718000
735,SMART BITT,2020-11-11,10:07:12.504000
517,EC LINE,2018-03-09,13:15:57.058000
19,CASIO,2008-06-11,15:19:36.435000
736,GENRICO ,2020-11-17,12:09:19.547000
737,B-FLOW,2020-11-19,10:28:37.988000
520,EC PRINER,2018-03-13,14:36:40.439000
521,GATEWAY,2018-03-16,12:00:59.002000
522,3G,2018-03-20,11:44:12.298000
523,TSC,2018-03-20,14:59:05.026000
524,LOGICAL,2018-03-22,17:48:59.262000
525,MOVER MEXICO,2018-03-27,11:54:48.647000
526,PIXXO,2018-03-28,13:43:57.586000
527,VIVITEK,2018-04-03,15:57:36.387000
528,TRUEBASIX,2018-04-05,13:44:56.118000
738,ENVISION,2020-11-19,14:58:10.120000
739,HITACHI,2020-11-24,17:57:22.826000
531,ATVIO,2018-04-05,15:07:52.381000
532,BTC,2018-04-19,16:33:13.152000
533,SOYO,2018-04-20,11:21:55.115000
740,ELECTROTEC,2020-11-30,12:01:45.838000
535,FORZA,2018-04-24,12:50:46.401000
741,GIGABYTE,2020-12-02,17:56:01.801000
537,INTERNET,2018-05-03,12:43:32.227000
538,ZKSOFTWARE,2018-05-03,12:46:15.465000
539,lathem,2018-05-08,11:45:01.074000
540,DCP,2018-05-18,11:39:49.263000
742,DATA SHIELD,2020-12-09,09:52:05.115000
743,SONY VAIO,2020-12-10,16:19:17.131000
744,O JHETA,2021-01-06,13:32:08.707000
544,STAR,2018-05-29,10:54:52.257000
745,3G TECNOLOGY,2021-01-08,11:04:06.154000
546,TI,2018-05-29,19:45:44.315000
547,SAMS 4S,2018-05-30,10:42:25.531000
746,NOVISION,2021-01-12,11:29:09.802000
549,vorago,2018-06-09,10:52:34.969000
550,GHIA,2020-11-05,10:35:05.892000
551,SUNSHINE,2018-06-14,16:48:39.880000
552,CONNECT,2018-06-15,11:57:27.551000
553,AOC,2018-06-18,11:42:15.887000
747,SIN MARCA,2021-01-22,14:17:11.786000
555,BENG,2018-06-29,14:29:28.594000
556,ASUSA,2018-07-12,12:30:14.319000
557,NCR,2018-07-13,16:34:16.833000
558,FUMIDA,2018-07-17,11:59:56.486000
559,SYMBOL,2018-07-17,14:36:09.871000
560,ACTECK,2018-07-23,10:14:38.090000
561,VARAGO,2018-07-25,11:59:16.018000
562,HP C5280,2018-07-25,18:21:00.309000
563,SAM4S,2018-07-26,12:34:05.424000
