CODIGO,NOMBRE,CODMARCA,FECHA_AUD,HORA_AUD
0,(Ninguno),0,2007-12-20,11:53:18.079000
4011,L1950S,270,2018-02-06,09:08:32.941000
4012,GENERICO,500,2018-02-06,09:12:31.654000
4013,M200,441,2018-02-06,09:36:47.469000
4014,23-Q154LA,449,2018-02-06,09:44:38.804000
4015,1522NF,449,2018-02-06,13:51:25.922000
4016,WORKCENTRE 3550,448,2018-02-06,13:52:40.163000
4018,mf5950dw,443,2018-02-06,16:22:47.666000
4019,EDGE 0579-65S,446,2018-02-06,17:45:07.183000
4020,TLP2742PSA,459,2018-02-06,17:50:42.955000
4022,dj 800,449,2018-02-07,11:34:42.343000
4024,dj ink advantage 5525,449,2018-02-07,13:48:50.400000
4025,7065,442,2018-02-07,16:53:27.598000
4026,T430,446,2018-02-08,11:23:44.599000
4027,DJ T610,449,2018-02-08,11:28:04.878000
4028,PRO-EXPRESS M4072FD,128,2018-02-08,15:09:25.275000
4029,7460,442,2018-02-09,10:35:22.822000
4030,lj 3020,449,2018-02-09,12:07:16.478000
4031,clp-670nd,128,2018-02-09,12:09:56.718000
4032,FLAT C0198,501,2018-02-09,12:27:06.926000
4033,P1005,449,2018-02-09,13:09:54.429000
4034,968,447,2018-02-09,14:15:39.012000
4035,OFFICEJET 4575,449,2018-02-09,14:17:16.877000
4036,P1102W,449,2018-02-10,13:17:03.959000
4037,15-AN001LA,449,2018-02-12,09:14:26.828000
4038,C7796F,449,2018-02-12,10:25:07.008000
4040,PH C5580,449,2018-02-12,12:11:00.772000
4041,LJ M1120,449,2018-02-12,12:25:36.786000
4042,work center i2010,448,2018-02-12,13:12:38.102000
4043,PRO M201DW,449,2018-02-12,14:12:41.545000
4045,ml-1640,128,2018-02-12,15:42:33.566000
4046,C480W,128,2018-02-12,16:42:54.403000
4047,CQ1-1307LA,481,2018-02-13,10:12:52.803000
4049,200,503,2018-02-13,12:07:19.424000
4051,SVF142C29U,144,2018-02-13,12:28:32.551000
4052,10110,446,2018-02-13,12:31:11.278000
4053,ASPIRE 5733,373,2018-02-13,13:41:24.040000
4054,PH D110A,449,2018-02-13,14:52:00.691000
4055,DJ 3050,449,2018-02-13,14:53:21.143000
4056,B 4600,468,2018-02-14,09:48:21.804000
4057,LJ 1320,449,2018-02-14,14:21:40.693000
4058,SATELITE IO3,504,2018-02-14,16:24:59.802000
4059,320,468,2018-02-15,11:54:42.036000
4061,HL-2135W,442,2018-02-15,13:59:24.002000
4062,DCP-T700W,442,2018-02-15,14:12:30.597000
4063,L565,441,2018-02-15,14:14:25.555000
4064,1200,449,2018-02-16,10:29:21.534000
4066,10160,446,2018-02-16,12:28:02.051000
4068,dr210hd,19,2018-02-16,13:36:40.463000
4069,OJ PRO 8600,449,2018-02-16,13:43:58.209000
