CODIGO,IDREPARACION,PRESUPUESTO,FECHA,ESTADO,CONTACTO,DETALLE,FECHA_AUD,HORA_AUD,IMPUESTOS,TOTAL,CODIMPUESTO,CLIENTE,FACTURADO,MONEDA,ENLACE,IDORDENSERVICIO
1,1,0,2018-12-03,1,,,2020-11-05,10:26:03.590000,0,0,1,2,N,1,,
28,28,0,2017-11-22,1,,,2020-11-05,10:26:03.626000,0,0,1,13,N,1,,
2,2,0,2018-12-03,1,,,2020-11-05,10:26:03.608000,0,0,1,2,N,1,,
32,32,0,2018-02-14,1,,,2020-11-05,10:26:03.651000,0,0,1,16,N,1,,
3,3,0,2018-12-03,1,,,2020-11-05,10:26:03.620000,0,0,1,2,N,1,,
37,37,0,2018-02-14,1,,,2020-11-05,10:26:03.696000,0,0,1,21,N,1,,
4,4,0,2017-12-04,1,,,2020-11-05,10:26:03.626000,0,0,1,3,N,1,,
5,5,0,2017-12-04,1,,,2020-11-05,10:26:03.626000,0,0,1,3,N,1,,
33,33,0,2018-02-14,1,,,2020-11-05,10:26:03.681000,0,0,1,17,N,1,,
6,6,0,2018-12-03,1,,,2023-03-17,15:18:37.217000,0,0,1,2,N,1,,
29,29,0,2018-01-31,1,,,2020-11-05,10:26:03.681000,0,0,1,14,N,1,,
7,7,0,2018-12-03,1,,,2020-11-05,10:26:03.626000,0,0,1,2,N,1,,
40,40,0,2018-02-13,1,,,2020-11-05,10:26:03.704000,0,0,1,24,N,1,,
8,8,0,2018-12-03,1,,,2020-11-05,10:26:03.627000,0,0,1,2,N,1,,
34,34,0,2018-02-14,1,,,2020-11-05,10:26:03.694000,0,0,1,17,N,1,,
9,9,0,2018-12-03,1,,,2020-11-05,10:26:03.628000,0,0,1,2,N,1,,
10,10,0,2019-01-02,1,,,2020-11-05,10:26:03.637000,0,0,1,2,N,1,,
35,35,0,2018-02-14,1,,,2020-11-05,10:26:03.695000,0,0,1,18,N,1,,
11,11,0,2018-12-03,1,,,2020-11-05,10:26:03.638000,0,0,1,2,N,1,,
30,30,0,2018-02-14,1,,,2020-11-05,10:26:03.693000,0,0,1,15,N,1,,
12,12,0,2018-12-03,1,,,2020-11-05,10:26:03.639000,0,0,1,2,N,1,,
38,38,0,2018-02-14,1,,,2020-11-05,10:26:03.700000,0,0,1,22,N,1,,
13,13,0,2018-12-03,1,,,2020-11-05,10:26:03.639000,0,0,1,2,N,1,,
31,31,0,2018-01-31,1,,,2020-11-05,10:26:03.693000,0,0,1,15,N,1,,
14,14,0,2017-12-04,1,,,2020-11-05,10:26:03.650000,0,0,1,3,N,1,,
36,36,0,2018-02-14,1,,,2020-11-05,10:26:03.682000,0,0,1,19,N,1,,
15,15,0,2018-02-14,1,,,2024-10-18,17:15:54.246000,0,0,1,4,N,1,,
41,41,0,2018-02-14,1,,,2020-11-05,10:26:03.706000,0,0,1,25,N,1,,
16,16,0,2018-02-14,1,,,2020-11-05,10:26:03.657000,0,0,1,4,N,1,,
39,39,0,2018-02-14,1,,,2020-11-05,10:26:03.705000,0,0,1,23,N,1,,
17,17,0,2018-02-14,1,,,2020-11-05,10:26:03.664000,0,0,1,4,N,1,,
50,50,0,2018-02-14,1,,,2020-11-05,10:26:03.721000,0,0,1,32,N,1,,
18,18,0,2018-03-06,1,,,2020-11-05,10:26:03.665000,0,0,1,5,N,1,,
42,42,0,2018-02-14,1,,,2020-11-05,10:26:03.709000,0,0,1,3,N,1,,
19,19,0,2019-01-14,1,,,2021-07-14,11:47:16.296000,0,0,1,2,N,1,,
51,51,0,2018-01-31,1,,,2020-11-05,10:26:03.724000,0,0,1,33,N,1,,
