index,CODIGO,CLIENTE,NS,FALLA,OBSERVACIONES,FECHAINGRESO,HORAINGRESO,RECEPCIONADO,TECNICO,INFORMETALLER,FECHATERMINADO,HORATERMINADO,ESTADO,ENTREGADO,FECHA_ENTREGADO,GARANTIA,INGRESO
2,2069,12,cnd948016c,INCLUIR EL EDITOR DE PDF  contaseña 234Hienz,,2018-12-04,09:37:05,2,0,INCLUIR EL EDITOR DEL PDF $150+IVA,2018-12-06,11:06:57,3,S,2018-12-06,,150.0
5,4,3,90819838,"MAYUSCULAS: NO ESCRIBE  MINUSCULAS:SE NOTA MAS.   CAMBIO PANTALLA.  MEM,LINE,TYPE/CAMBIAR BOTON","CINTA, MARGARITA, TAPA, CUBIERTA.",2017-11-22,10:40:04,1,0,rep. de mylar de teclado $ 360.00 + iva,2017-12-04,12:53:12,3,S,2018-02-14,,360.0
6,5,3,8062904,REV . GRAL.,MARGARITA. CINTA.  TAPA Y CUBIERTA.,2017-11-22,10:44:55,1,0,REPARACION DE MYLER DE TECLADO $ 360.00 + IVA,2017-12-04,12:54:00,3,S,2018-02-14,,360.0
11,10,2,z6msb8gc5b001xx,REV. GRAL.,CARTUCHO TONER,2017-11-22,11:00:17,1,0,"REPARACION TRACCION DE PAPEL - ELECTROIMAN
PAD DE SEPARADOR DE PAPEL
MANTENIMIENTO
$1030 + IVA",2019-01-02,09:35:41,3,S,2019-01-02,,1030.0
13,12,2,z729b8kc5c000gh,REV. GRAL.,SIN TONER.    CON CABLE DE ENERGIA,2017-11-22,11:07:18,1,0,BUEN MANTENIMIENTO $530 + IVA,2018-11-29,13:25:55,3,S,2018-11-30,,530.0
15,14,3,xjn6105631,REV. GRAL.,TONER,2017-11-22,11:14:49,1,0,"REPARACION DE TRACCION DE PAPEL, CHAROLA MULTIUSOS, MANTENIMIENTO. $ 480.00 + IVA",2017-12-04,12:54:35,3,S,2018-02-14,,480.0
16,15,4,cndc59l0ks,REV. GRAL.,TONERS,2017-11-22,11:17:15,1,0,"el juego de cartuchos que envio el cliente sale un velo obscuro. 
sustituir. 

mantenimiento.$ 400.00 + iva",2018-02-14,10:48:33,3,S,2018-02-14,,400.0
20,471,189,910410,IMPRIME DISPAREJO,,2018-02-15,11:52:34,1,0,"$ 530.00 + iva
",2018-03-14,13:59:20,3,S,2018-03-14,,530.0
24,20,2,25018341,REV. GRAL.,TONER,1899-12-30,11:37:07,1,0,"DEMACIADO TONER DERRAMADO, SIN CARTUCHO DE TONER, UNIDAD DE IMAGEN EN MAL ESTADO
CARTUCHO DE TONER$750
UNIDAD DE IMAGEN$1600
BUEN MANTENIMIENTO $580
SUB TOTAL $2930+IVA",2019-02-13,10:54:55,3,S,2019-02-13,,5860.0
25,472,189,5652H0,IMPRIME DISPAREJO,,2018-02-15,11:54:48,1,0,"$ 530.00 + iva
",2018-03-14,13:59:39,3,S,2018-03-14,,530.0
26,21,6,5CD6228PWP,,ELIMINADOR CON CABLE,2017-11-22,11:42:20,1,0,"disco duro malo, no se puede sacar informacion 500gb.",2018-02-14,10:49:54,3,S,2018-02-14,,500.0
27,22,7,e8by404572,NO RECIBE DATOS,COMPLETA,2017-11-22,11:44:28,1,0,"cambio de tarjeta logica, cabeza impresora. $ 1,800.00 + iva",2018-02-14,10:50:15,3,S,2018-02-14,,801.0
30,25,10,e04c29348,,,2017-11-22,11:56:24,1,0,rep. de tarjeta logica $ 360.00 + iva,2018-02-14,10:50:48,3,S,2018-02-14,,360.0
31,26,11,cnbk243917,IMPRESION DEFORME,TN,2017-11-22,12:20:25,1,0,"cambio de cable cinta del escaner, servicio $ 420.00 + iva",2018-02-14,10:51:17,3,S,2018-02-14,,420.0
32,27,12,d000qf,IMPRESION CON MANCHA,TN,2017-11-22,13:39:54,1,0,"mantenimeinto. ( opcional )   $ 665.00 neto. 
cartucho en mal estado (sustituir) d111l.",2018-02-14,10:51:55,3,S,2018-02-14,,776.0
34,33,17,cnbb019242,IMPRESION MALA DE UN LADO.,TN,2017-11-23,12:02:25,1,0,"funda del fusor, mantenimiento. $580.00 + iva",2018-02-14,10:53:14,3,S,2018-02-14,,580.0
35,36,19,cnbm131331,MANTENIMIENTO.     IMPRIME BORROSO.,TN,2017-11-23,13:30:37,1,0,"funda de fusor, mantenimiento. $ 730.00",2018-02-14,10:55:12,3,S,2018-02-14,,730.0
36,473,99,U63329L2N345971,TRACCION DE PAPEL.,TN,2018-02-15,13:58:17,1,0,"REP. DE TRACCION DE PAPEL, MANT. $ 480,00 + IVA",2018-02-22,14:16:20,3,S,2018-02-22,,480.0
39,34,17,cnbj031376,ATORA HOJAS. IMPRESION CON MANCHAS.,TN,2017-11-23,12:05:02,1,0,"brazo sujetador del cartucho. funda del fusor, electroiman de la traccion de papel. goma pickup, mant.   $ 800.00 + iva

no acepto. se regresa.",2018-02-14,10:53:23,3,S,2018-02-14,,800.0
40,35,18,cnb2d07088,CARTUCHO DE TONER TRABADO.,TNS,2017-11-23,12:42:49,1,0,servicio de sincronizacion de carrousel de cartuchos. $ 300.00 + iva,2018-02-14,10:54:54,3,S,2018-02-14,,300.0
42,38,22,q7812a,ATORANDO HOJAS,,2017-11-23,17:33:02,1,0,"engrane impulsor, funda fusor, rodillo de presion, goma pick up, mant. $1,360.00 + iv",2018-02-14,10:56:12,3,S,2018-02-14,,361.0
43,40,24,vnbcbb719k,TIRANDO TONER.   ARREGLAR CONFIGURACION,TONER,2017-11-24,13:29:08,1,0,"goma pick up, mant. $ 630..00",2018-02-13,13:14:26,3,S,2018-02-14,,630.0
44,39,23,P10CCBKLAN03,PANTALLA,,2017-11-23,17:37:56,1,0,"cambio de pantalla $1,130.00 + iva",2018-02-14,10:56:39,3,S,2018-02-14,,131.0
46,42,3,s701543lm096r1,"ALIMENTACION POR ADF, SE ATORA",TN,2017-11-24,13:44:38,1,0,"rep. de el adf, mant. $ 480,00 + iva",2018-02-14,10:58:22,3,S,2018-02-14,,480.0
49,45,28,cm16h9fs144649t,,BASE DE PARED,2017-11-27,09:25:12,1,0,fuente interna. $ 360.00,2018-02-14,10:58:38,3,S,2018-02-14,,360.0
