CODIGO,NOMBRE,FECHA_AUD,HORA_AUD
0,(Ninguno),2007-12-20,11:52:46.233000
TEL,TEELEFONO,2018-10-06,11:13:22.308000
PC25,DVR,2018-11-09,11:01:14.156000
700,IMPRESORA BADGE,2018-12-28,13:29:05.184000
0133,FUENTE DE PODER SERVIDOR,2019-02-12,12:33:12.169000
PC22,LAPTOP,2017-11-22,11:42:13.132000
COP1,COPIADORA,2019-07-05,12:54:21.955000
DVDR,DVR GRABADOR,2019-07-06,12:54:01.196000
0234,CELULAR,2019-07-30,16:38:45.206000
133,CONMUTADOR,2019-07-30,17:29:15.215000
1232,DISCO DURO,2019-08-27,14:19:18.388000
0001,DVD,2019-09-02,16:12:47.038000
0159,ENMICADORA,2019-09-18,16:30:53.131000
35,IMP. DE TINTA CONTINUA,2019-09-30,11:43:49.331000
1584,REGULADOR,2019-11-04,11:32:43.610000
0543,PATINETA ,2019-12-20,17:16:03.123000
045,CONSOLA DE VIDEO,2019-12-23,10:11:08.025000
179,FUENTE DE PODER CPU,2020-01-08,17:39:49.521000
276,IMPRESORA DE CREDENCIAL,2020-01-13,13:50:44.196000
2406,BASE TELEFONO,2020-01-29,09:28:08.750000
0123,CAJA DE CONTROL,2020-02-06,11:54:33.577000
3546,BOCINA,2020-04-07,12:08:25.185000
128,MULTIFUNCIONAL DE TINTA,2020-04-20,10:41:38.129000
126,ARRANCADOR,2020-06-11,15:56:43.448000
7896,FAX,2020-06-11,17:44:40.634000
2316,PC,2020-09-09,16:20:03.987000
165,TARJETA MADRE,2020-10-16,16:29:15.108000
166,ELLIMINADOR,2020-10-30,11:19:56.247000
626,TELEVISION,2020-11-19,15:54:40.187000
6540,IMPRESORA CHEQUES,2020-12-10,18:11:36.895000
6541,SERVIDOR,2021-02-17,14:14:09.443000
0350,MICROFONO,2021-03-02,15:32:17.917000
5640,CAJA DE ADAP. HDMI,2021-03-17,16:44:12.044000
30,CONSOLA,2021-04-05,14:54:33.755000
033,HORNO MICROONDAS,2021-04-22,15:58:16.625000
9564,ROUTER,2021-06-08,16:01:27.885000
3254,MOUSE,2021-08-11,11:10:05.041000
170,IMAC,2021-10-01,14:31:55.990000
190,IMAC,2021-10-01,14:32:13.875000
PC01,CPU ALL IN ONE,2017-11-22,11:53:54.862000
PC02,PROYECTOR,2017-11-27,09:38:34.045000
PC03,MINIPRINTER,2017-11-28,18:09:42.456000
PC04,CPU,2017-12-28,11:57:10.213000
PC05,CALCULADORA,2017-12-06,10:17:23.697000
PC06,PANTALLA,2017-12-12,18:11:16.259000
PC08, DESKJET,2017-12-28,11:57:39.415000
PC09, IMPRESORA LASER,2017-12-28,11:57:49.288000
564,SACAPUNTAS ELECTRICO,2021-10-22,13:39:29.054000
1536,ESCANER,2022-08-02,13:54:42.990000
FB24,IMPRESORA TERMICA,2022-08-12,13:33:29.602000
354,CAMARA,2022-11-09,12:25:07.656000
66,FOTOCELDA,2023-02-13,10:57:28.121000
9,RADIO,2023-02-15,15:44:46.049000
6876,CONTADORA DE BILLETES,2023-04-10,11:56:59.936000
PC07, IMPRESORA DE MATRIZ DE PUNTO,2017-12-28,11:57:26.470000
PC10,MULTI FUNCIONAL,2017-12-28,11:58:10.307000
PC11,REGISTRADORA,2017-12-21,09:19:03.992000
PC12,PLOTER,2018-02-01,10:19:45.069000
PC13,IMPRESORA ETIQUETAS,2017-12-28,12:00:32.045000
PC14,MONITOR,2018-03-13,18:01:06.508000
PC15,"PC MONITOR CRT 19\""",2011-11-28,11:37:40.671000
PC16,"PC MONITOR CRT 21\""",2011-11-28,11:37:44.359000
PC17,DESTRUCTORA DE DOCTOS. ,2018-01-02,12:22:39.152000
PC18,SCANNER,2018-02-03,14:16:41.325000
506,FUSOR,2023-08-07,13:00:22.494000
PC20,NO BREAKE,2017-11-22,11:59:24.950000
PC21,RELOJ CHECADOR,2018-01-04,13:29:19.141000
1054,MEMORIA USB,2023-10-04,17:08:37.131000
127,ipad,2024-02-13,09:17:42.963000
5460,VENTILADOR,2024-04-19,15:22:28.153000
PC23,MAQUINA DE ESCRIBIR,2017-11-22,10:38:36.201000
PC24,TABLETA,2011-11-28,11:39:29.687000
