CLIENTE,DESCRIPCION FALLA,INGRESO,FECHA REPARACION,CLUSTER,SIMILITUD COSENO,COHORT
2,revision general tndr cambio del panel de control iva buen mantenimiento   iva total iva,1820.0,29/11/2018,Impresora Laser,0.29830706,2017-11-22
2,imprime negro tn mantenimiento iva,480.0,30/11/2018,Impresora Tinta,0.39136124,2017-11-22
2,"rev gral cartucho toner reparacion traccion de papel  electroiman
pad de separador de papel
mantenimiento
  iva",1030.0,02/01/2019,Impresora Laser,0.5084754,2017-11-22
2,rev gral sin toner    con cable de energia buen mantenimiento   iva,530.0,29/11/2018,Impresora Laser,0.49351877,2017-11-22
2,rev gral   sin toner cambio de contacto del cartucho goma pick up mantenimento gral iva,480.0,29/11/2018,Impresora Laser,0.44867498,2017-11-22
2,"rev gral toner demaciado toner derramado sin cartucho de toner unidad de imagen en mal estado
cartucho de toner
unidad de imagen
buen mantenimiento 
sub total iva",5860.0,13/02/2019,Impresora Laser,0.6213634,2017-11-22
12,incluir el editor de pdf  contasea hienz   incluir el editor del pdf iva,150.0,06/12/2018,Sistemas,0.31505316,2020-05-25
12,"impresion con mancha tn mantenimeinto  opcional      neto 
cartucho en mal estado sustituir dl",776.0,14/02/2018,Impresora Tinta,0.34021765,2020-05-25
12,"bisagras   soldadura y rep de bisagras 
 ",480.0,14/02/2018,Sistemas,0.64982325,2020-05-25
12,quitar la contrasea con eliminador se quito la contrsea iva,300.0,06/05/2020,Sistemas,0.4575735,2020-05-25
12,"le instalaron la impresora samsung m  y le dice que no hay conexion y dice que hay un error  y el cursorcambia de posicion sin hacer la orden refisar memoria y ver si se puede actualizar windows con eliminador instalacion de impresora iva
office iva

total iva",500.0,07/05/2020,Impresora Tinta,0.28896746,2020-05-25
12,instalacion de office celiminador iva,150.0,25/05/2020,Sistemas,0.3950333,2020-05-25
12,"al estar trabajando en cualquier app se queda trabada y tarda rato en ingresar a las paginas cuando trabaja en paqueteria de oofice aparace leyenda en rojo y dice que el sitema no se cargo bien la nota lenta revisar que fincione la base enfriadora con cable usb celiminador c base enfriadora vorago
contrasea alex procesador intel pentium dual core gb ram mhz gb dd
una tecla levantada
formateo con respaldo ivaa
mantenimiento ivaa
cable usb para base enfriadora  netoa

total sfact 
total cfact ",3216.0,29/09/2020,Sistemas,0.34592402,2020-05-25
12,activacion de office scables ivaa,150.0,28/01/2021,Sistemas,0.4888707,2020-05-25
12,"no permite trabajar en la paqueteria de office con eliminador sin contrasea pentium dual core twin  progb drr maxgb gb hdd salud buena gb de uso 

reintalacion de office ivaa",5706.0,01/04/2022,Sistemas,0.44533876,2020-05-25
12,"cotizar eliminador y revisar generalmente sin eliminador intel athomwingb ddr  max gbgb salud buena gb en uso

eliminador generico  netoa
pila bios  netoa
memeoria ram gb  netoa
formateo cresp  netoa

total  netoa",4277.5,10/08/2022,Sistemas,0.50082654,2020-05-25
12,"esta muy lenta ver que se puede hacer para que sea mas rapida con eliminador sin contrasea esta muy sucia primero mantenimiento ex  netoa
despues continuar con el diagnostico bateria daada ssd y ram  no es costeable ya que el equipo es obsoleto
con formateo le ayudaria un poco  netoa

se recomienda invertir en un equipo nuevo con mejores caracteriticas

total  netoa  del quemador  neto",2600.0,05/06/2023,Sistemas,0.3310366,2020-05-25
12,"no prende sin estar conectada  prenden y al estar trabajando se pone en momentos  la pantalla en verde trae una linea no expulsa el cd con eliminador completo sin contrasea pantalla daada no la hay para su reemplazo
bateria y unidad de cd daados no las hay

mantenimiento ex  netono aceptado

no se recomienda invertirle al equipo se regresa sin reparacion

lector y grabador externa  netoa",5170.0,19/05/2023,Sistemas,0.4560178,2020-05-25
12,monitos prende y se apaga de manera intermitente se le cambio cargador generico con eliminador generico steren eliminador daado seminuevo ivaacep,480.0,14/02/2024,Sistemas,0.3338707,2020-05-25
3,mayusculas no escribe  minusculasse nota mas   cambio pantalla  memlinetypecambiar boton cinta margarita tapa cubierta rep de mylar de teclado    iva,360.0,04/12/2017,Sistemas,0.4084136,2017-11-22
3,rev  gral margarita cinta  tapa y cubierta reparacion de myler de teclado    iva,360.0,04/12/2017,Sistemas,0.47964603,2017-11-22
3,rev gral toner reparacion de traccion de papel charola multiusos mantenimiento    iva,480.0,04/12/2017,Impresora Laser,0.55443674,2017-11-22
3,alimentacion por adf se atora tn rep de el adf mant    iva,480.0,14/02/2018,Impresora Tinta,0.30391803,2017-11-22
3,"rompe las hojas   mascarilla sensor mantenimiento     
",480.0,15/02/2018,Impresora Tinta,0.46210077,2017-11-22
3,"no imprime  rev gral  cdrtn   dr 
original   neto 
generico   neto 

equipo bloqueado fin de vida de la unidad de imagen 

si imprime ",19726.0,15/02/2018,Impresora Tinta,0.34349185,2017-11-22
3,"rev gral   no ha fallado
mantenimiento    iva
",360.0,18/04/2018,Sistemas,0.48138872,2017-11-22
3,"no prende     iva
fuente de poder  leds 
",400.0,18/04/2018,Impresora Laser,0.40685323,2017-11-22
3,rev gral     iva,1450.0,09/08/2018,Impresora Tinta,0.31756487,2017-11-22
3,mancha en la impresion   unidad de imagen nueva   iva y dos toner para la misma,2555.0,11/12/2018,Impresora Laser,0.41550812,2017-11-22
3,"imprime doble vez mandas imorimir  imprime  la instalo en otro equipo hizo lo mismo mantenimiento y si ocupa toner   electroiman de la traccion de papel iva
mantenimiento iva
toner agotado sustituir mlt d  neto",1084.0,08/03/2019,Impresora Laser,0.5338092,2017-11-22
3,"no jala las hojas sin bandeja receptora con toner observacion filmina con  piquetitos
se encuentra en buen estado aun
rotacion a goma alimentadora
engrane impulsor del fusor  iva 
mantenimeinto  iva

costo total  iva

cartucho con calidad muy tenue",1340.0,25/06/2019,Impresora Laser,0.43314135,2017-11-22
3,no imprime   destapado de cabezal  y mantenimiento iva,480.0,22/07/2019,Sistemas,0.4622221,2017-11-22
3,"no imprime no copia scables no imprime por que es para copiadora
marca distintos errores

jse ajunta el papel y no recupera el tamao
e
ese repara solenoide y continua la falla

tarjeta logica daada

se regresa sin reparacion",70.0,18/02/2020,Sistemas,0.33923122,2017-11-22
3,"posible corto en usb la conecta y se apaga el equipo de computo   no presento falla mencionada 

se resetea equipo iva
requiere cambio de unidad de imagen dr  neto 
cartucho  neto",2020.0,01/10/2019,Impresora Tinta,0.28807625,2017-11-22
3,"mantenimiento  se atoran la hojas quebrado boton c cinta stapa mantenimiento ivaaceptado
cambio del teclado ivaaceptado
reparacion del boton ivano aceptado


total iva",1810.0,26/03/2020,Sistemas,0.40928504,2017-11-22
